price,distance,engine,city_mileage,highway_mileage
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
"73,987","6,305 miles",6.2L 8-Cylinder Gas Engine,14 City,19 Highway
"58,997","5,050 miles",5.3L 8-Cylinder Gas Engine,16 City,20 Highway
"49,976","74,728 miles- Low Mileage",5.3L 8-Cylinder Gas Engine,15 City,19 Highway
"42,996","9,400 miles",5.3L 8-Cylinder Gas Engine,17 City,20 Highway
"29,750","4,690 miles",2.0L 4-Cylinder Turbo Gas Engine,22 City,30 Highway
,,,,
"61,499","14,715 miles",5.3L 8-Cylinder Gas Engine,16 City,20 Highway
,,,,
"28,676","54,464 miles",3.6L 6-Cylinder Gas Engine,17 City,24 Highway
"77,991","17,811 miles- Low Mileage",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
"46,995","15,966 miles",5.3L 8-Cylinder Gas Engine,19 City,22 Highway
"83,991","10,492 miles",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
"20,588","18,398 miles",1.5L 4-Cylinder Turbo Gas Engine,29 City,36 Highway
,,,,
"33,998","43,869 miles",2.8L 4-Cylinder Turbo Diesel Engine,19 City,22 Highway
"79,464","6,260 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"77,592","12,548 miles",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
"43,500","7,173 miles",2.7L 4-Cylinder Turbo Gas Engine,19 City,22 Highway
"43,998","4,902 miles",5.3L 8-Cylinder Gas Engine,14 City,17 Highway
,,,,
"32,977","24,512 miles",2.7L 4-Cylinder Turbo Gas Engine,20 City,23 Highway
"39,999","29,914 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"21,340","28,614 miles",1.5L 4-Cylinder Turbo Gas Engine,29 City,36 Highway
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
,,,,
,,,,
"37,989","14,884 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"37,989","31,836 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"45,989","15,568 miles",5.3L 8-Cylinder Gas Engine,16 City,21 Highway
"81,999","14,146 miles",6.2L 8-Cylinder Gas Engine,15 City,27 Highway
,,,,
"10,985","108,249 miles",5.7L 8-Cylinder Gas Engine,16 City,23 Highway
,,,,
"85,997","1,908 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"21,466","6,730 miles",1.5L 4-Cylinder Turbo Gas Engine,29 City,36 Highway
"52,831","25,872 miles- Low Mileage",6.2L 8-Cylinder Gas Engine,15 City,25 Highway
,,,,
"19,494","37,367 miles",3.6L 6-Cylinder Gas Engine,19 City,29 Highway
,,,,
"36,561","33,636 miles",5.3L 8-Cylinder Gas Engine,17 City,23 Highway
"36,861","16,949 miles",5.3L 8-Cylinder Gas Engine,20 City,23 Highway
,,,,
"74,229","2,709 miles",6.2L 8-Cylinder Gas Engine,16 City,24 Highway
"23,450","21,532 miles",1.5L 4-Cylinder Turbo Gas Engine,26 City,31 Highway
"36,528","27,985 miles",5.3L 8-Cylinder Gas Engine,17 City,23 Highway
"26,977","69,768 miles",5.3L 8-Cylinder Gas Engine,16 City,23 Highway
"42,977","11,023 miles",5.3L 8-Cylinder Gas Engine,16 City,22 Highway
"16,500","60,318 miles",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
,,,,
"18,181","72,690 miles- Low Mileage",1.4L 4-Cylinder Turbo Gas Engine,24 City,29 Highway
,,,,
,,,,
"24,691","36,942 miles",2.5L 4-Cylinder Gas Engine,20 City,26 Highway
"60,322","22,289 miles",6.2L 8-Cylinder Gas Engine,15 City,26 Highway
,,,,
,,,,
"17,999","65,867 miles- Low Mileage",1.5L 4-Cylinder Turbo Gas Engine,25 City,30 Highway
"20,900","46,499 miles- Low Mileage",5.3L 8-Cylinder Gas Engine,14 City,18 Highway
"33,999","105,849 miles- Low Mileage",5.3L 8-Cylinder Gas Engine,14 City,21 Highway
"61,900","25,692 miles",6.2L 8-Cylinder Supercharged Gas Engine,13 City,23 Highway
"32,488","41,864 miles",3.6L 6-Cylinder Gas Engine,17 City,25 Highway
"70,990","10,890 miles",6.2L 8-Cylinder Supercharged Gas Engine,15 City,22 Highway
"17,988","114,405 miles",5.3L 8-Cylinder Flexible Fuel Engine,15 City,21 Highway
"22,998","29,856 miles",1.3L 3-Cylinder Turbo Gas Engine,28 City,31 Highway
"39,990","19,912 miles",4.3L 6-Cylinder Gas Engine,19 City,22 Highway
